Candidate Model Set,Hypothesis
*y = bank,1
*y = bank + GW,1
*y = ln(distance) + GW,1
*y = ln(distance),1
*y = bank + ln(distance) + bank:ln(distance) + ln(distance)2:bank + GW,2
*y = bank + ln(distance) + bank:ln(distance),1
*y = bank + ln(distance) + bank:ln(distance) + GW,1
*y = bank + ln(distance) + bank:ln(distance) + ln(distance)2:bank,2
*y = bank + ln(distance) + bank,1
*y = bank + ln(distance) + bank + GW,1
*y = GW,3
y = bank + substrate,1
y = ln(distance) + substrate,1
y = bank + GW + substrate,1
y = bank + ln(distance) + bank:ln(distance) + GW + substrate,2
y = bank + ln(distacne) + bank:ln(distance) + substrate,1
y = bank + ln(distance) + bank:ln(distance) + GW + substrate,2
y = bank + ln(distance) + bank:ln(distance) + ln(distance)2:bank + GW+ substrate,2
y = bank + ln(distance) + bank:ln(distance) + ln(distance)2:bank + substrate,2
y = bank + ln(distance) + GW+ substrate,1
y = bank + ln(distance) + substrate,1
y = substrate,3
y = GW + substrate,3
